ID,education_level,years_experience,job_title,industry,location,company_size,certifications,age,working_hours,crucial_code,salary
1,High School,12,Data Scientist,Education,New York,Medium,1,48,52,XEV156,
2,PhD,17,Data Scientist,IT,New York,,0,39,34,,
3,PhD,12,Software Engineer,Education,New York,Large,4,,42,FIK684,95136.09799
4,Bachelors,1,Analyst,Healthcare,New York,Small,2,34,,DKD155,70682.30628
5,High School,0,Analyst,IT,New York,Small,1,38,40,ZZH645,64887.65469
6,PhD,17,Manager,Healthcare,New York,Large,3,35,37,EUL573,108816.2662
7,High School,6,Software Engineer,IT,New York,Medium,2,40,43,ASK448,70602.30744
8,PhD,11,Data Scientist,Education,New York,,1,45,42,,114449.9955
9,Bachelors,8,Manager,Finance,New York,Large,3,,49,AIC329,91470.73893
10,High School,3,Analyst,IT,New York,Medium,,28,43,KHB186,70347.52337
11,PhD,2,,IT,New York,Small,4,30,51,ARG795,90859.63099
12,Bachelors,13,Data Scientist,Education,New York,Small,2,55,30,YVE939,98162.08402
13,Bachelors,15,Software Engineer,Education,New York,Large,1,49,35,PNL671,65439.07114
14,PhD,18,Software Engineer,Finance,New York,Small,3,36,36,QVU569,104324.4658
15,High School,6,Analyst,Education,New York,Small,1,41,40,SUS321,64248.3188
16,High School,5,Data Scientist,Finance,New York,Large,,23,49,SZT517,92200.263
17,Masters,14,Manager,IT,New York,Medium,3,48,48,JUW639,132850.8192
18,PhD,12,,Education,New York,Large,4,,50,PAH764,100468.2574
19,High School,0,Analyst,,New York,Medium,2,32,59,PBG182,67062.04374
20,Bachelors,10,Software Engineer,Healthcare,New York,Small,2,26,55,SCZ370,64051.11352
21,PhD,12,Data Scientist,Healthcare,New York,,3,28,35,,100797.2547
22,Bachelors,13,Data Scientist,Education,New York,Small,1,32,33,KSH886,95320.1324
23,PhD,1,Software Engineer,Education,New York,Small,3,59,,YXA316,74500.05157
24,Bachelors,9,Analyst,IT,New York,Large,4,55,50,QXU020,76666.15224
25,Masters,10,Manager,Healthcare,New York,,1,48,53,,82940.56282
26,High School,5,Manager,IT,New York,Medium,4,32,41,CDW193,65058.52299
27,,16,Manager,Education,New York,Medium,,58,56,PNL951,98348.52919
28,Bachelors,5,Manager,IT,New York,Small,2,54,44,ZAA483,93637.84048
29,PhD,17,Analyst,Healthcare,New York,Small,3,43,49,LCX481,107128.2175
30,High School,1,,Finance,New York,Small,3,28,53,IIL242,74642.77912
31,PhD,8,Manager,Healthcare,New York,Small,4,,58,NFU256,90611.4434
32,,,Analyst,IT,New York,Large,2,28,52,ALB042,103973.2431
33,Masters,14,Analyst,Education,New York,Large,2,52,40,BLA502,96970.13406
34,High School,14,Software Engineer,Healthcare,New York,Medium,3,47,39,DEM084,66823.84335
35,High School,5,Software Engineer,Finance,New York,Large,0,49,51,HBH308,70908.44497
36,PhD,2,Manager,Healthcare,New York,Medium,4,26,53,KKB886,85681.3778
37,High School,2,Analyst,Education,New York,Large,3,58,52,CBE608,64338.60085
38,Bachelors,1,Manager,Finance,New York,Small,,22,35,AZY373,81542.23198
39,Bachelors,4,Data Scientist,IT,New York,Small,0,57,59,PSH854,86680.70671
